         Index             t     Heat Flow            Ts            Tr
           [#]           [s]          [mW]          [°C]          [°C]
             0   0,00000e+00  -2,44663e-03  -7,95363e+01  -8,00000e+01
             1   1,00000e-04  -2,36354e-03  -7,94738e+01  -7,98000e+01
             2   2,00000e-04  -2,08504e-03  -7,93912e+01  -7,96000e+01
             3   3,00000e-04  -1,65165e-03  -7,92998e+01  -7,94000e+01
             4   4,00000e-04  -9,89809e-04  -7,91994e+01  -7,92000e+01
             5   5,00000e-04  -1,24101e-04  -7,90947e+01  -7,90000e+01
             6   6,00000e-04   9,53545e-04  -7,89744e+01  -7,88000e+01
             7   7,00000e-04   2,26919e-03  -7,88452e+01  -7,86000e+01
             8   8,00000e-04   3,78395e-03  -7,87273e+01  -7,84000e+01
             9   9,00000e-04   5,63124e-03  -7,85805e+01  -7,82000e+01
            10   1,00000e-03   7,72081e-03  -7,84471e+01  -7,80000e+01
            11   1,10000e-03   1,01274e-02  -7,82960e+01  -7,78000e+01
            12   1,20000e-03   1,28746e-02  -7,81428e+01  -7,76000e+01
            13   1,30000e-03   1,59664e-02  -7,79897e+01  -7,74000e+01
            14   1,40000e-03   1,93875e-02  -7,78234e+01  -7,72000e+01
            15   1,50000e-03   2,31860e-02  -7,76661e+01  -7,70000e+01
            16   1,60000e-03   2,73956e-02  -7,74934e+01  -7,68000e+01
            17   1,70000e-03   3,19804e-02  -7,73274e+01  -7,66000e+01
            18   1,80000e-03   3,69883e-02  -7,71572e+01  -7,64000e+01
            19   1,90000e-03   4,23337e-02  -7,69804e+01  -7,62000e+01
            20   2,00000e-03   4,80721e-02  -7,67993e+01  -7,60000e+01
            21   2,10000e-03   5,41281e-02  -7,66206e+01  -7,58000e+01
            22   2,20000e-03   6,04409e-02  -7,64398e+01  -7,56000e+01
            23   2,30000e-03   6,69722e-02  -7,62526e+01  -7,54000e+01
            24   2,40000e-03   7,37223e-02  -7,60721e+01  -7,52000e+01
            25   2,50000e-03   8,06351e-02  -7,58807e+01  -7,50000e+01
            26   2,60000e-03   8,76402e-02  -7,57004e+01  -7,48000e+01
            27   2,70000e-03   9,47360e-02  -7,55093e+01  -7,46000e+01
            28   2,80000e-03   1,01825e-01  -7,53140e+01  -7,44000e+01
            29   2,90000e-03   1,08802e-01  -7,51276e+01  -7,42000e+01
            30   3,00000e-03   1,15738e-01  -7,49304e+01  -7,40000e+01
            31   3,10000e-03   1,22452e-01  -7,47443e+01  -7,38000e+01
            32   3,20000e-03   1,29019e-01  -7,45430e+01  -7,36000e+01
            33   3,30000e-03   1,35324e-01  -7,43484e+01  -7,34000e+01
            34   3,40000e-03   1,41468e-01  -7,41497e+01  -7,32000e+01
            35   3,50000e-03   1,47388e-01  -7,39532e+01  -7,30000e+01
            36   3,60000e-03   1,52977e-01  -7,37570e+01  -7,28000e+01
            37   3,70000e-03   1,58293e-01  -7,35652e+01  -7,26000e+01
            38   3,80000e-03   1,63304e-01  -7,33671e+01  -7,24000e+01
            39   3,90000e-03   1,68006e-01  -7,31647e+01  -7,22000e+01
            40   4,00000e-03   1,72304e-01  -7,29690e+01  -7,20000e+01
            41   4,10000e-03   1,76418e-01  -7,27649e+01  -7,18000e+01
            42   4,20000e-03   1,80288e-01  -7,25760e+01  -7,16000e+01
            43   4,30000e-03   1,83833e-01  -7,23743e+01  -7,14000e+01
            44   4,40000e-03   1,87072e-01  -7,21814e+01  -7,12000e+01
            45   4,50000e-03   1,90082e-01  -7,19779e+01  -7,10000e+01
            46   4,60000e-03   1,92857e-01  -7,17767e+01  -7,08000e+01
            47   4,70000e-03   1,95397e-01  -7,15821e+01  -7,06000e+01
            48   4,80000e-03   1,97760e-01  -7,13833e+01  -7,04000e+01
            49   4,90000e-03   1,99840e-01  -7,11804e+01  -7,02000e+01
            50   5,00000e-03   2,01722e-01  -7,09842e+01  -7,00000e+01
            51   5,10000e-03   2,03447e-01  -7,07794e+01  -6,98000e+01
            52   5,20000e-03   2,04945e-01  -7,05835e+01  -6,96000e+01
            53   5,30000e-03   2,06396e-01  -7,03769e+01  -6,94000e+01
            54   5,40000e-03   2,07707e-01  -7,01812e+01  -6,92000e+01
            55   5,50000e-03   2,08954e-01  -6,99793e+01  -6,90000e+01
            56   5,60000e-03   2,10028e-01  -6,97861e+01  -6,88000e+01
            57   5,70000e-03   2,11061e-01  -6,95737e+01  -6,86000e+01
            58   5,80000e-03   2,11998e-01  -6,93744e+01  -6,84000e+01
            59   5,90000e-03   2,12826e-01  -6,91774e+01  -6,82000e+01
            60   6,00000e-03   2,13563e-01  -6,89762e+01  -6,80000e+01
            61   6,10000e-03   2,14338e-01  -6,87731e+01  -6,78000e+01
